DOL Year,Species Code,Species Name,Number Of Animals (sum),Landed Weight (sum),Region,Region Desc,Management Area
1985,110,"cod, Pacific (gray)",2,17,1,Southeastern Region,D
1985,110,"cod, Pacific (gray)",10,32,2,Central Region,H
1985,120,"flounder, general",48,283,2,Central Region,H
1985,130,lingcod,466,9867,1,Southeastern Region,A
1985,130,lingcod,113,2006,1,Southeastern Region,B
1985,130,lingcod,25,473,1,Southeastern Region,C
1985,130,lingcod,693,20367,1,Southeastern Region,D
1985,130,lingcod,133,791,2,Central Region,H
1985,139,"rockfish, other",0,77,1,Southeastern Region,D
1985,140,"rockfish, red",5,99,1,Southeastern Region,A
1985,140,"rockfish, red",4,71,1,Southeastern Region,B
1985,140,"rockfish, red",17,603,1,Southeastern Region,D
1985,142,"rockfish, black",8,70,1,Southeastern Region,D
1985,143,"rockfish, thornyhead (idiots)",1,5,1,Southeastern Region,D
1985,145,"rockfish, yelloweye (red snapper)",1,9,1,Southeastern Region,A
1985,145,"rockfish, yelloweye (red snapper)",0,9,1,Southeastern Region,B
1985,145,"rockfish, yelloweye (red snapper)",7,213,1,Southeastern Region,D
1985,147,"rockfish, quillback",0,51,1,Southeastern Region,B
1985,147,"rockfish, quillback",1,298,1,Southeastern Region,D
1985,201,,475,9044,2,Central Region,H
1985,202,Blk hagfish,38,1426,2,Central Region,H
1985,203,,6,238,2,Central Region,H
1985,204,,64,3017,2,Central Region,H
1985,400,"salmon, roe (unknown species)",8,128758,1,Southeastern Region,A
1985,400,"salmon, roe (unknown species)",0,24516,1,Southeastern Region,B
1985,400,"salmon, roe (unknown species)",0,1156,1,Southeastern Region,C
1985,400,"salmon, roe (unknown species)",35,57462,1,Southeastern Region,D
1985,400,"salmon, roe (unknown species)",0,121,2,Central Region,H
1985,400,"salmon, roe (unknown species)",150,1011,2,Central Region,T
1985,400,"salmon, roe (unknown species)",0,250884,3,A-Y-K Region,Y
1985,400,"salmon, roe (unknown species)",0,349,4,Westward Region,K
1985,410,"salmon, chinook",64123,939049,1,Southeastern Region,A
1985,410,"salmon, chinook",57659,956153,1,Southeastern Region,B
1985,410,"salmon, chinook",35457,436125,1,Southeastern Region,C
1985,410,"salmon, chinook",99018,1732197,1,Southeastern Region,D
1985,410,"salmon, chinook",43529,1198057,2,Central Region,E
1985,410,"salmon, chinook",25097,694828,2,Central Region,H
1985,410,"salmon, chinook",120441,2191633,2,Central Region,T
1985,410,"salmon, chinook",74041,1256419,3,A-Y-K Region,W
1985,410,"salmon, chinook",63,1106,3,A-Y-K Region,X
1985,410,"salmon, chinook",146114,2958218,3,A-Y-K Region,Y
1985,410,"salmon, chinook",19491,419331,3,A-Y-K Region,Z
1985,410,"salmon, chinook",4970,96106,4,Westward Region,K
1985,410,"salmon, chinook",1887,44874,4,Westward Region,L
1985,410,"salmon, chinook",30210,588718,4,Westward Region,M
1985,420,"salmon, sockeye",669776,4383880,1,Southeastern Region,A
1985,420,"salmon, sockeye",856063,5042666,1,Southeastern Region,B
1985,420,"salmon, sockeye",305466,1893226,1,Southeastern Region,C
1985,420,"salmon, sockeye",32417,202873,1,Southeastern Region,D
1985,420,"salmon, sockeye",1450171,8752895,2,Central Region,E
1985,420,"salmon, sockeye",4338826,24232766,2,Central Region,H
1985,420,"salmon, sockeye",23702883,136274582,2,Central Region,T
1985,420,"salmon, sockeye",121233,848826,3,A-Y-K Region,W
1985,420,"salmon, sockeye",166,1155,3,A-Y-K Region,Z
1985,420,"salmon, sockeye",1842731,8734723,4,Westward Region,K
1985,420,"salmon, sockeye",921502,5446297,4,Westward Region,L
1985,420,"salmon, sockeye",4743247,25833839,4,Westward Region,M
1985,430,"salmon, coho",855866,7455153,1,Southeastern Region,A
1985,430,"salmon, coho",831003,6247948,1,Southeastern Region,B
1985,430,"salmon, coho",193374,1510965,1,Southeastern Region,C
1985,430,"salmon, coho",717559,5167296,1,Southeastern Region,D
1985,430,"salmon, coho",1024553,10415128,2,Central Region,E
1985,430,"salmon, coho",677540,4903108,2,Central Region,H
1985,430,"salmon, coho",162822,1324352,2,Central Region,T
1985,430,"salmon, coho",382041,2859269,3,A-Y-K Region,W
1985,430,"salmon, coho",57656,414126,3,A-Y-K Region,Y
1985,430,"salmon, coho",21927,169195,3,A-Y-K Region,Z
1985,430,"salmon, coho",284166,2519566,4,Westward Region,K
1985,430,"salmon, coho",191162,1709637,4,Westward Region,L
1985,430,"salmon, coho",348632,2721395,4,Westward Region,M
1985,440,"salmon, pink",8068192,24560693,1,Southeastern Region,A
1985,440,"salmon, pink",28073305,91112471,1,Southeastern Region,B
1985,440,"salmon, pink",8723321,26998291,1,Southeastern Region,C
1985,440,"salmon, pink",7094503,22831805,1,Southeastern Region,D
1985,440,"salmon, pink",25129419,88273975,2,Central Region,E
1985,440,"salmon, pink",1317545,4590112,2,Central Region,H
1985,440,"salmon, pink",457,1798,2,Central Region,T
1985,440,"salmon, pink",111,405,3,A-Y-K Region,W
1985,440,"salmon, pink",3647,11458,3,A-Y-K Region,Z
1985,440,"salmon, pink",7334825,26764307,4,Westward Region,K
1985,440,"salmon, pink",160128,643731,4,Westward Region,L
1985,440,"salmon, pink",4434160,18028534,4,Westward Region,M
1985,450,"salmon, chum",1121229,10742626,1,Southeastern Region,A
1985,450,"salmon, chum",1264102,11323209,1,Southeastern Region,B
1985,450,"salmon, chum",275541,2353512,1,Southeastern Region,C
1985,450,"salmon, chum",614545,5132999,1,Southeastern Region,D
1985,450,"salmon, chum",1297472,10826793,2,Central Region,E
1985,450,"salmon, chum",803487,6129973,2,Central Region,H
1985,450,"salmon, chum",1068461,6837155,2,Central Region,T
1985,450,"salmon, chum",224765,1587688,3,A-Y-K Region,W
1985,450,"salmon, chum",521373,4528131,3,A-Y-K Region,X
1985,450,"salmon, chum",784390,5475967,3,A-Y-K Region,Y
1985,450,"salmon, chum",134878,939534,3,A-Y-K Region,Z
1985,450,"salmon, chum",430757,3399190,4,Westward Region,K
1985,450,"salmon, chum",22805,145276,4,Westward Region,L
1985,450,"salmon, chum",2029532,14119298,4,Westward Region,M
1985,500,"pike, northern",1228,9174,3,A-Y-K Region,X
1985,520,"char, Arctic (general)",14,67,2,Central Region,T
1985,520,"char, Arctic (general)",454,3177,3,A-Y-K Region,X
1985,530,Dolly Varden (general),40,80,1,Southeastern Region,A
1985,540,"trout, steelhead",516,4161,1,Southeastern Region,A
1985,540,"trout, steelhead",7893,69260,1,Southeastern Region,B
1985,540,"trout, steelhead",1036,8222,1,Southeastern Region,C
1985,540,"trout, steelhead",29,353,1,Southeastern Region,D
1985,540,"trout, steelhead",13,100,2,Central Region,T
1985,570,inconnu (sheefish),89,670,3,A-Y-K Region,X
1985,580,"whitefish, general",595,2130,3,A-Y-K Region,W
1985,580,"whitefish, general",2775,7694,3,A-Y-K Region,X
1985,580,"whitefish, general",169,717,3,A-Y-K Region,Y
1985,590,burbot,651,2016,3,A-Y-K Region,W
1985,590,burbot,81,608,3,A-Y-K Region,X
1985,710,sablefish (blackcod),0,16,1,Southeastern Region,D
1986,130,lingcod,10,162,1,Southeastern Region,A
1986,130,lingcod,0,44,1,Southeastern Region,B
1986,130,lingcod,0,6,1,Southeastern Region,C
1986,130,lingcod,0,3772,1,Southeastern Region,D
1986,139,"rockfish, other",0,6,1,Southeastern Region,B
1986,139,"rockfish, other",0,20,1,Southeastern Region,C
1986,140,"rockfish, red",0,156,1,Southeastern Region,D
1986,142,"rockfish, black",0,4,1,Southeastern Region,D
1986,145,"rockfish, yelloweye (red snapper)",0,21,1,Southeastern Region,D
1986,147,"rockfish, quillback",0,11,1,Southeastern Region,D
1986,151,"rockfish, rougheye",0,13,1,Southeastern Region,D
1986,161,"sculpin, coastrange",0,14,1,Southeastern Region,B
1986,400,"salmon, roe (unknown species)",23,34304,1,Southeastern Region,A
1986,400,"salmon, roe (unknown species)",0,19469,1,Southeastern Region,B
1986,400,"salmon, roe (unknown species)",0,497,1,Southeastern Region,C
