Row Labels,Region,Chinook,Scokeye,Coho,Pink,Chum,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,ALL,NA,183,0,"125,718",NA,"125,901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,ALL,42,720,0,"127,188","2,214","130,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,ALL,445,"300,758",0,"532,303","1,514","835,020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,ALL,"4,388","638,408",102,"1,406,028","8,557","2,057,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,ALL,"1,504","362,326","48,857","3,904,308","39,972","4,356,967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,ALL,"3,352","27,590","84,033","6,067,429","73,869","6,256,273",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,ALL,"1,175","158,000","80,820","5,256,149","209,771","5,705,915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,ALL,"5,234","236,762","135,524","4,838,680","1,549,559","6,765,759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,ALL,"10,039","447,448","196,502","12,891,224","1,118,379","14,663,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,ALL,"14,120","872,507","388,535","7,630,445","1,330,333","10,235,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,ALL,"22,691","613,433","171,542","19,819,167","1,378,464","22,005,297",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,ALL,"28,886","1,001,421","117,108","12,099,427","1,952,956","15,199,798",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,ALL,"35,150","1,342,578","278,886","28,403,238","955,802","31,015,654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,ALL,"64,859","1,366,025","680,922","39,580,126","1,487,413","43,179,345",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,ALL,"71,754","2,289,246","922,466","36,247,398","1,848,535","41,379,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,ALL,"54,661","1,498,967","1,037,831","12,220,536","2,398,376","17,210,371",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,ALL,"56,404","2,062,422","620,872","18,023,439","5,918,512","26,681,649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,ALL,"43,417","1,610,445","1,024,048","38,814,084","7,977,027","49,469,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,ALL,"79,366","1,075,191","839,924","22,714,552","8,641,336","33,350,369",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,ALL,"89,354","2,317,366","930,894","26,178,537","13,974,597","43,490,748",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,ALL,"66,039","2,499,554","720,746","30,982,804","11,758,168","46,027,311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,ALL,"35,965","1,882,080","944,447","34,564,050","12,622,840","50,049,382",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,ALL,"46,792","2,568,488","1,180,020","47,193,297","14,144,492","65,133,089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,ALL,"81,955","1,520,601","1,179,919","38,191,003","17,684,623","58,658,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,ALL,"91,462","2,498,569","1,244,963","44,616,086","8,358,543","56,809,623",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,ALL,"85,837","2,749,665","1,576,037","28,443,301","11,813,552","44,638,703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,ALL,"88,938","3,694,840","1,102,260","55,071,886","12,764,879","72,721,118",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,ALL,"118,583","2,669,905","834,124","28,309,396","10,057,578","41,989,586",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,ALL,"72,998","1,972,236","1,021,934","64,949,983","6,655,453","74,672,604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,ALL,"54,854","2,135,578","1,032,130","24,773,517","14,543,841","42,539,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,ALL,"83,889","2,033,337","809,108","62,677,909","11,473,819","77,078,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,ALL,"97,145","1,510,062","1,123,080","42,075,688","12,820,747","57,626,722",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,ALL,"82,786","1,534,343","813,392","27,483,685","11,765,847","41,680,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,ALL,"73,593","2,060,770","916,856","72,484,852","11,854,282","87,390,353",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,ALL,"101,092","2,673,023","1,073,289","29,876,986","10,255,648","43,980,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,ALL,"71,923","2,304,090","677,976","26,699,246","14,109,316","43,862,551",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,ALL,"95,570","1,801,171","1,517,608","88,942,840","14,227,394","106,584,583",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,ALL,"66,173","2,294,284","1,772,277","47,234,781","6,881,646","58,249,161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,ALL,"77,495","2,319,615","936,259","77,896,371","11,327,248","92,556,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,ALL,"43,861","1,758,419","536,275","11,526,801","9,914,308","23,779,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,ALL,"42,045","1,447,642","625,758","30,234,269","14,270,961","46,620,675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,ALL,"41,402","1,771,853","714,637","23,280,580","13,091,246","38,899,718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,SE,NA,NA,0,"108,173",NA,"108,173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,SE,NA,NA,NA,0,"2,214","2,214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,SE,445,NA,0,"33,555","1,514","35,514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,SE,"4,388",NA,0,500,"5,627","10,515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,SE,"1,504",NA,"47,823","139,000","3,286","191,613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,SE,"3,352",NA,"82,458","16,568","64,874","167,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,SE,"1,175",NA,"78,918","163,494","196,523","440,110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,SE,"5,234",NA,"134,482","235,694","1,465,670","1,841,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,SE,"10,039",NA,"180,821","911,977","931,267","2,034,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,SE,"14,045","18,600","378,044","116,114","1,035,304","1,562,107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,SE,"22,486","36,000","134,157","1,370,029","1,236,283","2,798,955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,SE,"28,585","20,400","38,414","124,571","1,251,471","1,463,441",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
