year,pink_harvest
1970,31.138
1971,23.522
1972,15.915
1973,9.793
1974,9.852
1975,12.977
1976,24.751
1977,28.587
1978,53.853
1979,50.136
1980,63.282
1981,60.019
1982,64.887
1983,60.311
1984,75.972
1985,90.351
1986,76.531
1987,46.33
1988,50.257
1989,99.377
1990,88.187
1991,128.162
1992,60.3
1993,109
1994,116.16
1995,128
1996,97.6
1997,71.9
1998,105
1999,146
2000,75
2001,127.4
2002,87.3
2003,124.2
2004,99.974
2005,161.2
2006,72.74
2007,142.1
2008,83.061
2009,96.736
2010,107.55
2011,116.133
2012,68.025
2013,226.274
2014,95.795
2015,190.59
2016,39.246
2017,141.649
2018,40.912409
